Key #,Core #,ROOM (DESCRIPTION) ,Box Location,In Stock,Assigned,Total
815,NA,CABLE LOCKS FOR LAPTOP SECURITY BOX,1,3,0,3
100T,NA,DISPLAY CASES,2,1,0,1
331C,NA,FLAMMABLE CABINET,3,1,0,1
931/N54,NA,MACHINE SHOP TOOL BOX,4,1,0,1
B1477,NA,LEXTURE HALL VI BOOTH,5,2,0,2
B644A,NA,AV BOX,6,1,0,1
C420A,NA,DRAWER 107, 401,7,1,0
EM501,NA,COMPUTER CABINET (INTRO LABS),8,4,10,17
HL345,NA,STUDENT PICTURE CABINETS,9,0,1,1
L034,NA,105-CABINET 4,10,2,0,2
L086,NA,105-CABINET 6,11,2,0,2
L10087,NA,ROOF,12,1,0,2
L144,NA,105-CABINET 7,13,2,0,2
L211,NA,105-CABINET 11,14,2,0,2
L213,NA,105-CABINET 12,15,2,0,2
L217,NA,105-CABINET 1,16,2,0,2
L231,NA,105-CABINET 2,17,1,0,1
L280,NA,105-CABINET 10,18,2,0,2
L284,NA,105-CABINET 9,19,2,0,2
L290,NA,105-CABINET 8,20,1,0,1
L300,NA,105-CABINET 5,21,2,0,2
M125,NA,224 MODULAR OFFICE,22,1,0,1
M134,NA,FILE CABINET 323,23,3,0,3
M137,NA,224 MODULAR OFFICE,24,2,0,2
M150,NA,224 MODULAR OFFICE,25,2,0,2
M151,NA,224 MODULAR OFFICE,26,4,0,4
M152,NA,224 MODULAR OFFICE,27,3,0,3
M153,NA,224 MODULAR OFFICE,28,4,0,4
M154,NA,224 MODULAR OFFICE,29,2,0,2
M155,NA,224 MODULAR OFFICE,30,1,0,1
M156,NA,224 MODULAR OFFICE,31,4,0,4
M157,NA,224 MODULAR OFFICE,32,4,0,4
M197,NA,105 FILE CABINET,33,3,0,3
M244,NA,224 MODULAR OFFICE,34,1,0,1
MG201,NA,DESK,35,2,0,2
MG203,NA,DESK 219,36,1,0,1
MG205,NA,ELECTRONIC DESK,37,1,0,1
MZ9000,PZ1X,101,38,10,0,10
MZ9001,MZ2,101A,39,2,0,2
MZ9002,PZ3,101B,40,2,0,2
MZ9003,PZ5,016,41,5,10,16
MZ9004,PZ6,016A,42,2,0,2
MZ9006,PZ8,ENTRANCE,43,11,100,133
MZ9008,PZ10,226A,44,1,0,1
MZ9011,PZ,MASTER,45,1,4,5
MZ9024,PZF1X,304,46,3,0,3
MZ9025,PZF2,304A,47,3,10,21
MZ9026,PZF3,OLD 304B,48,29,0,31
MZ9027,PZF4,304C,49,3,5,8
MZ9028,PZF5,304D,50,2,5,7
MZ9032,PZF9,305,51,3,5,10
MZ9190,PXC5,307,52,1,1,2
MZ9036,PZF13X,306,53,3,0,3
MZ9037,PZF14,306A,54,0,11,18
MZ9038,PZF15,306B,55,3,3,12
MZ9039,PZF16,306C,56,3,1,5
MZ9040,PZF17,306D,57,3,3,9
MZ9041,PZF21X,334,58,3,1,4
MZ9042,PZF22,334A,59,4,0,4
MZ9043,PZF23,334B,60,5,3,8
MZ9044,PZF24,334C,61,2,6,16
MZ9045,PZF,PZF SUB-MASTER,62,2,0,3
MZ9046,PZE1,010,63,3,2,5
MZ9047,PZE2,011,64,5,1,6
MZ9048,PZE3,401A,65,4,0,5
MZ9049,PZE4,405,66,6,4,10
MZ9050,PZE5X,404,67,3,0,3
MZ9051,PZE6,404A,68,6,2,9
MZ9052,PZE7,404B,69,3,0,3
MZ9053,PZE8,404C,70,3,0,4
MZ9054,PZE9,404D,71,2,8,11
MZ9193,PZE11,404E,72,5,12,17
MZ9056,PZE13X,406,73,3,0,3
MZ9057,PZE15,406A,74,4,0,4
MZ9058,PZE16,406B,75,5,0,5
MZ9059,PZE17,406C,76,4,2,7
MZ9060,PZE17,406D,77,6,2,8
MZ9061,PZE21,432,78,3,3,8
MZ9062,PZE25X,433,79,6,1,7
MZ9063,PZE26,433A,80,3,3,26
MZ9064,PZE27,433B,81,3,3,22
MZ9065,PZE28,433C,82,8,1,9
MZ9066,PZE,PZE SUB-MASTER,83,2,0,3
MZ9067,PZD1,008,84,5,1,6
MZ9068,PZD2,009,85,3,0,3
MZ9069,PZD3,217,86,3,1,4
MZ9070,PZD4,218,87,4,0,4
MZ9071,PZD4,319,88,2,4,6
MZ9072,PZD6,220,89,2,3,5
MZ9073,PZD7,309,90,2,1,3
MZ9074,PZD8,310,91,2,1,3
MZ9075,PZD9,311,92,3,0,3
MZ9076,PZD10,312,93,2,1,3
MZ9077,PZD11,313,94,4,1,5
MZ9079,PZD13,315,95,1,2,3
MZ9080,PZD14,316,96,8,1,9
MZ9081,PZD15,317,97,2,2,4
MZ9085,PZD19,321,98,2,1,3
MZ9095,PZD29,408,99,5,0,5
MZ9096,NA,OLD 409,100,7,0,7
MZ9097,PZD31,410,101,5,2,7
MZ9098,PZD32,411,102,3,2,7
MZ9099,PZD33,412,103,2,1,3
MZ9100,PZD34,413,104,6,3,9
MZ9101,PZD35,414,105,2,1,3
MZ9102,PZD36,415,106,2,4,11
MZ9103,PZD37,416,107,2,2,4
MZ9104,PZD38,417,108,2,3,5
MZ9105,PZD39,418,109,2,1,3
MZ9106,PZD40,419,110,2,1,4
MZ9107,PZD41,420,111,2,4,6
MZ9108,PZD42,422,112,3,3,5
MZ9110,PZD44,424,113,2,2,4
MZ9111,PZD45,425,114,2,1,3
MZ9112,PZD46,426,115,2,1,3
MZ9113,PZD47,427,116,2,1,3
MZ9114,PZD48,428,117,2,1,4
MZ9115,PZD49,429,118,2,1,3
MZ9116,PZD50,430,119,6,1,7
MZ9117,PZD51,210,120,2,0,2
MZ9118,PZD52,211,121,1,2,4
MZ9120,PZD,PZD SUB-MASTER,122,3,0,4
MZ9121,PZC1,205S,123,10,49,76
MZ9122,PZC2,216,124,9,0,9
MZ9123,PZC3,221,125,2,0,2
MZ9124,PZC4,224,126,5,14,20
MZ9125,PZC5,OLD 225,127,2,0,2
MZ9126,PZC,205F,128,11,46,67
MZ9127,PZB1,107,129,1,0,1
MZ9128,PZB2X,201,130,4,0,4
MZ9129,PZB3,201A,131,2,1,4
MZ9130,PZB4,201B,132,1,1,2
MZ9131,PZB5,OLD 401,133,5,0,5
MZ9132,PZB,PZB SUB-MASTER,134,2,0,3
MZ9133,PZA1,003,135,2,0,2
MZ9136,PZA4,101B,136,2,0,2
MZ9137,PZA5,OLD 105,137,1,0,1
MZ9138,PZA6,108,138,9,4,12
MZ9139,PZA7,109,139,9,4,13
MZ9140,PZA8,207,140,2,1,3
MZ9141,PZA9,208,141,6,2,8
MZ9142,PZA10,209,142,8,0,8
MZ9143,PZA11,213,143,3,1,4
MZ9144,PZA12,214,144,2,1,3
MZ9145,PZA13,215,145,3,1,4
MZ9146,PZA14,110,146,3,2,5
MZ9147,PZA15,111,147,4,0,4
MZ9148,PZA,PZA SUB-MASTER,148,6,7,16
MZ9153,PZE29,433E,149,0,8,12
MZ9154,PZF62,304B,150,11,8,20
MZ9157,PZC7,401,151,1,6,12
MZ9158,PZC8,004,152,4,4,8
MZ9162,PZC10,304 INTERIOR,153,13,0,15
MZ9163,PZC11,106,154,5,0,5
MZ9164,PZC12,206,155,6,2,9
MZ9189,PZD65,225,156,5,13,28
MZ9166,PZD55,423,157,1,5,7
MZ9167,PZF26,334D,158,1,4,12
PZD5,PZD5,212,159,1,1,1
MZ9169,PZD56,OLD 318,160,1,0,1
MZ9171,PZD57,431,161,4,5,9
MZ9172,PZC12,322,162,4,0,4
MZ9191,PZC6,407,163,3,0,0
MZ9174,PZD59,308,164,3,0,3
MZ9175,PZC15,202,165,0,3,6
MZ9176,PZO59,318,166,1,1,2
MZ9177,PZC16,105,167,5,19,30
MZ9178,PZD60,320,168,2,0,2
MZ9179,PZD61,219,169,3,1,4
MZ9180,PZD62,323,170,2,0,2
MZ9181,PZD63,314,171,1,1,2
MZ9182,PZD64,320,172,2,1,3
MZ9184,CT15,006B,173,6,1,7
MZ9185,CT16X,006,174,3,0,3
MZ9187,PZ16X,006A,175,3,3,8
NSR251,NA,016CB,176,3,10,14
T217,NA,TOOL BOX 016E,177,0,0,0
M105,NA,,178,2,0,2
M195,NA,,179,2,0,2
MG203,NA,,180,0,0,0
AA235,NA,,181,1,0,1
L3303,NA,,182,1,2,3
MZ9194,PZD66,409,183,3,6,9
MZ9191,PZC6,334E,184,0,2,3
PZD67,PZD67,324,185,3,0,3
PZ9,PZ9,226,186,1,1,2